NIL - Name,NIL-ID,Municipio
Duomo,01,1
Brera,02,1
Giardini P.ta Venezia,03,1
Guastalla,04,1
Porta Vigentina - Porta Lodovica,05,1
Porta Ticinese - Conca del Naviglio,06,1
Magenta - S.Vittore,07,1
Parco Sempione,08,1
Porta Garibaldi - Porta Nuova,09,9
Stazione Centrale - Ponte Seveso,10,2
Isola,11,2
Maciachini - Maggiolina,12,2
Greco - Segnano,13,2
Niguarda - Ca Granda - Prato Centenaro - Q.re Fulvio Testi,14,9
Bicocca,15,9
Gorla - Precotto,16,2
Adriano,17,2
Cimiano - Rottole - Q.re Feltre,18,3
Padova - Turro - Crescenzago,19,2
Loreto - Casoretto - NoLo,20,3
Buenos Aires - Porta Venezia - Porta Monforte,21,3
Citta' studi,22,3
Lambrate - Ortica,23,3
Parco Forlanini - Cavriano,24,3
Corsica,25,4
XXII Marzo,26,4
Pta Romana,27,4
Umbria - Molise - Calvairate,28,4
Ortomercato,29,4
Taliedo - Morsenchio - Q.re Forlanini,30,4
Monlue' - Ponte Lambro,31,4
Triulzo Superiore,32,4
Rogoredo - Santa Giulia,33,4
Chiaravalle,34,5
Lodi - Corvetto,35,4
Scalo Romana,36,5
Morivione,37,5
Vigentino - Q.re Fatima,38,5
Quintosole,39,5
Ronchetto delle Rane,40,5
Gratosoglio - Q.re Missaglia - Q.re Terrazze,41,5
Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata,42,5
Tibaldi,43,5
Porta Ticinese - Conchetta,44,6
Moncucco - San Cristoforo,45,6
Barona,46,6
Cantalupa,47,6
Ronchetto sul Naviglio - Q.re Lodovico il Moro,48,6
Giambellino,49,6
Porta Genova,50,6
Porta Magenta,51,6
Bande Nere,52,6
Lorenteggio,53,6
Muggiano,54,7
Baggio - Q.re degli Olmi - Q.re Valsesia,55,7
Forze Armate,56,7
San Siro,57,7
De Angeli - Monte Rosa,58,7
Tre Torri,59,8
Stadio - Ippodromi,60,7
Quarto Cagnino,61,7
Quinto Romano,62,7
Figino,63,7
Trenno,64,8
Q.re Gallaratese - Q.re San Leonardo - Lampugnano,65,8
QT 8,66,8
Portello,67,8
Pagano,68,8
Sarpi,69,8
Ghisolfa,70,8
Villapizzone - Cagnola - Boldinasco,71,8
Maggiore - Musocco - Certosa,72,8
Cascina Merlata,73,8
Roserio,74,8
Stephenson,75,8
Quarto Oggiaro - Vialba - Musocco,76,8
Bovisa,77,9
Farini,78,9
Dergano,79,9
Affori,80,9
Bovisasca,81,9
Comasina,82,9
Bruzzano,83,9
Parco Nord,84,9
Parco delle Abbazie,85,5
Parco dei Navigli,86,5
Assiano,87,7
Parco Bosco in citta',88,8